"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"+9V";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"C1";"47u";"6MM.2";"0632";"6.3mm diameter caps";"";"";"";"";"";"";
"C2";"47u";"6MM.2";"0632";"6.3mm diameter caps";"";"";"";"";"";"";
"C3";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C4";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C5";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C6";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C7";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"C8";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"C";
"D1";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D2";"1n5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";"";"";"";"";
"D3";"1n4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D4";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";
"D5";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D6";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";
"D7";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D8";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";
"D9";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D10";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";
"D11";"1N4148";"DO35.2";"DO35-2";"1n914, BAT4x, 1n34a";"";"";"";"";"";"";
"D12";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";"";"";"";"";
"FSW_1";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"FSW_2";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"FSW_3";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"FSW_4";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"FSW_5";"";"SPST";"SPST.WIRE";"SPST Switches";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"GND_IN1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"IC1";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";
"IN_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"IN_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND3";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND4";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND5";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND6";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND7";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"LP_GND8";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"MIDI_IN4";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"MIDI_IN5";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"MIDI_THRU2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"MIDI_THRU4";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"MIDI_THRU5";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"OK1";"6N138";"6N138";"DIL08";"MOTOROLA OPTO COUPLER";"VISHAY/TELEFUNKEN";"6N138";"9860150";"35K5294";"";"";
"OUT_L";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"OUT_R";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";
"Q1";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";
"Q2";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";
"Q3";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";
"Q4";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";
"Q5";"BC549";"BC549";"TO92";"NPN - BC549x, BC550x";"";"";"";"";"";"";
"R1";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R2";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R3";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R4";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R5";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R6";"470R";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R7";"220R";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R8";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R9";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R10";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R11";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R12";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R13";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R14";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R15";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R16";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R17";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R18";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R19";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R20";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R21";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R22";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R23";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R24";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R25";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R26";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R27";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R28";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R29";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R30";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R31";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R32";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R33";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"R34";"220R";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"";"";"";"18";"R";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";"";"";"";"";
"RELAY1";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY2";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY3";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY4";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY5";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY6";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY7";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY8";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
"RELAY9";"EC2-5NU";"EC2-5NU";"8-PIN";"Low Signal Relay, DPDT, 5v coil voltage";"";"";"";"";"";"";
